sentence,ID,clean sentence
The poll has been marred by widespread allegations of vote-rigging.,3DGDV62G7OACD5N6VQWD7R9PPYQ2PH,The poll has been marred by widespread allegations of vote-rigging.
"The allegations have fired up the opposition, which has long seen its protests crushed and its pleas ignored by the Kremlin-dominated media.",3DGDV62G7OACD5N6VQWD7R9PPYQ2PH,"The allegations have fired up the opposition, which has long seen its protests crushed and its pleas ignored by the Kremlin-dominated media."
"Let us honor the memory of the fallen, not only by keeping them in our daily thoughts but also by staying true to their commitment,"" Romney said.",3T6SSHJUZFBO74E47YRLLAFUR3PII2,"Let us honor the memory of the fallen, not only by keeping them in our daily thoughts but also by staying true to their commitment,"" Romney said."
"Before the trip, former President Bill Clinton touted Mr. Obama's bold decision to go after bin Laden in a campaign ad that also suggested Romney might not have made the same call.",3T6SSHJUZFBO74E47YRLLAFUR3PII2,"Before the trip, former President Bill Clinton touted Mr. Obama's bold decision to go after bin Laden in a campaign ad that also suggested Romney might not have made the same call."
"Romney fired back Tuesday, appearing with former New York City Mayor Rudy Giuliani in front of a New York City firehouse and saying Obama should not be politicizing the issue.",3T6SSHJUZFBO74E47YRLLAFUR3PII2,"Romney fired back Tuesday, appearing with former New York City Mayor Rudy Giuliani in front of a New York City firehouse and saying Obama should not be politicizing the issue."
"Military personnel watch on a screen as President Barack Obama makes a live address at Bagram Air Field, Afghanistan, Wednesday, May 2, 2012.",3T6SSHJUZFBO74E47YRLLAFUR3PII2,"Military personnel watch on a screen as President Barack Obama makes a live address at Bagram Air Field, Afghanistan, Wednesday, May 2, 2012."
"Fierce clashes between Syrian government forces and opposition fighters have left at least 23 soldiers killed in the central Syrian city of Rastan, activists say.",3T6SSHJUZFBO74E47YRLLAFUR3PII2,"Fierce clashes between Syrian government forces and opposition fighters have left at least 23 soldiers killed in the central Syrian city of Rastan, activists say."
"Earlier in the week, the Spanish government took a 45% stake in Bankia.",30Y6N4AHYPXKSS1157KJ8508MU0DRZ,"Earlier in the week, the Spanish government took a 45% stake in Bankia."
It had already forced banks to make provisions of 54bn euros to cover bad loans.,30Y6N4AHYPXKSS1157KJ8508MU0DRZ,It had already forced banks to make provisions of 54bn euros to cover bad loans.
"The big question is whether the Spanish state can afford on its own to put into these banks the sort of capital that is necessary or whether they will have to go for emergency help from the eurozone bailout fund or the IMF, said BBC business editor Robert Peston.",30Y6N4AHYPXKSS1157KJ8508MU0DRZ,"The big question is whether the Spanish state can afford on its own to put into these banks the sort of capital that is necessary or whether they will have to go for emergency help from the eurozone bailout fund or the IMF, said BBC business editor Robert Peston."
"JPMorgan Chase, the biggest US bank, reveals a surprise trading loss of $2bn (£1.2bn) on complex investments made by its traders.",30Y6N4AHYPXKSS1157KJ8508MU0DRZ,"JPMorgan Chase, the biggest US bank, reveals a surprise trading loss of $2bn (£1.2bn) on complex investments made by its traders."
The Spanish government on Friday announced measures to protect the country's banks against the risks caused by loans going bad.,30Y6N4AHYPXKSS1157KJ8508MU0DRZ,The Spanish government on Friday announced measures to protect the country's banks against the risks caused by loans going bad.
"According to the new measures announced by vice prime minister Soraya Saenz de Santamaria and Economy Minister Luis de Guindos, Spain's banks will have to find an extra 30 billion euros (39 billion U.S. dollars) of capital.",30Y6N4AHYPXKSS1157KJ8508MU0DRZ,"According to the new measures announced by vice prime minister Soraya Saenz de Santamaria and Economy Minister Luis de Guindos, Spain's banks will have to find an extra 30 billion euros (39 billion U.S. dollars) of capital."
"The move will provide an extra 30bn euros (24.1bn) financial cushion, taking total provisions against real estate assets to 137bn euros (110bn), worth 45% of the banks' portfolios.",362E9TQF2HRABD89HARI0Y2ECQXGI8,"The move will provide an extra 30bn euros (24.1bn) financial cushion, taking total provisions against real estate assets to 137bn euros (110bn), worth 45% of the banks' portfolios."
Economy minister Luis de Guindos said public funds available for the banks would be less than 15bn euros (12bn) and would not have any effect on the country's deficit.,362E9TQF2HRABD89HARI0Y2ECQXGI8,Economy minister Luis de Guindos said public funds available for the banks would be less than 15bn euros (12bn) and would not have any effect on the country's deficit.
"Two independent auditing firms will be responsible for valuing banks' exposure to the nation's collapsed property sector, ministers told a news conference after a cabinet meeting.",362E9TQF2HRABD89HARI0Y2ECQXGI8,"Two independent auditing firms will be responsible for valuing banks' exposure to the nation's collapsed property sector, ministers told a news conference after a cabinet meeting."
"Banks which are unable to raise the extra capital will have access to a five-year loan, via a convertible bond, from the state at an interest rate of 10%, they added.",362E9TQF2HRABD89HARI0Y2ECQXGI8,"Banks which are unable to raise the extra capital will have access to a five-year loan, via a convertible bond, from the state at an interest rate of 10%, they added."
The country will also make its rental market more flexible in order to incentivise banks to offload their real estate assets.,362E9TQF2HRABD89HARI0Y2ECQXGI8,The country will also make its rental market more flexible in order to incentivise banks to offload their real estate assets.
Chinese antitrust and competition authorities have approved Google to acquire Motorolla.,3SCKNODZ0XHJWL8ZLN0GZTL20ZB7N6,Chinese antitrust and competition authorities have approved Google to acquire Motorolla.
"VentureBeat reports that according to The Wall Street Journal, Google's deal to purchase Motorola Mobility for $12.5 billion dollars will likely close next week.",3SCKNODZ0XHJWL8ZLN0GZTL20ZB7N6,"VentureBeat reports that according to The Wall Street Journal, Google's deal to purchase Motorola Mobility for $12.5 billion dollars will likely close next week."
"The deal is said to give Google 17,000 patents and 6,800 pending patent applications owned by Motorola.",3SCKNODZ0XHJWL8ZLN0GZTL20ZB7N6,"The deal is said to give Google 17,000 patents and 6,800 pending patent applications owned by Motorola."
"China was the last regulatory hold-out to approve the merger, which was approved by the United States Department of Justice and European Union regulators in February.",3SCKNODZ0XHJWL8ZLN0GZTL20ZB7N6,"China was the last regulatory hold-out to approve the merger, which was approved by the United States Department of Justice and European Union regulators in February."
"Now that China has given the go-ahead, the deal can be finalized.",3SCKNODZ0XHJWL8ZLN0GZTL20ZB7N6,"Now that China has given the go-ahead, the deal can be finalized."
Antitrust issues were a major reason that regulatory boards had to mull over before approving the deal.,3SCKNODZ0XHJWL8ZLN0GZTL20ZB7N6,Antitrust issues were a major reason that regulatory boards had to mull over before approving the deal.
"Mainly, there were concerns that Motorola would be given preferential treatment for the Android operating system, which runs on Motorola devices.",3SCKNODZ0XHJWL8ZLN0GZTL20ZB7N6,"Mainly, there were concerns that Motorola would be given preferential treatment for the Android operating system, which runs on Motorola devices."
"The next day, Thomas called to report that her son had kicked and punched her when she tried to wake him up for school.",338GLSUI43CTRRFAB2FEMF8PLM2SF7,"The next day, Thomas called to report that her son had kicked and punched her when she tried to wake him up for school."
"The following day, child welfare investigators visited the house to look into allegations of inadequate supervision of the children.",338GLSUI43CTRRFAB2FEMF8PLM2SF7,"The following day, child welfare investigators visited the house to look into allegations of inadequate supervision of the children."
Records also showed that Thomas was arrested in 2002 on a misdemeanor battery charge for striking the father of her children.,338GLSUI43CTRRFAB2FEMF8PLM2SF7,Records also showed that Thomas was arrested in 2002 on a misdemeanor battery charge for striking the father of her children.
The charge was later dropped.,338GLSUI43CTRRFAB2FEMF8PLM2SF7,The charge was later dropped.
"Two years earlier, she filed a domestic violence complaint against Joe Johnson, but that was dismissed after a hearing.",338GLSUI43CTRRFAB2FEMF8PLM2SF7,"Two years earlier, she filed a domestic violence complaint against Joe Johnson, but that was dismissed after a hearing."
"Jamie Hudson, whose mother lives two doors down from the family, said the boys in the family were known to shoot BBs at a home across the street and had threatened to set it on fire.",338GLSUI43CTRRFAB2FEMF8PLM2SF7,"Jamie Hudson, whose mother lives two doors down from the family, said the boys in the family were known to shoot BBs at a home across the street and had threatened to set it on fire."
It comes after the Bank of Spain effectively nationalized one of the nation's largest banks earlier this week.,3O0M2G5VC631OWMMIFJ4EG683V194V,It comes after the Bank of Spain effectively nationalized one of the nation's largest banks earlier this week.
"Spanish banks have been struggling for years with the fallout from the nation's property bust, which saddled them with billions of euro worth of bad property loans.",3O0M2G5VC631OWMMIFJ4EG683V194V,"Spanish banks have been struggling for years with the fallout from the nation's property bust, which saddled them with billions of euro worth of bad property loans."
"While the government has taken steps to support banks, analysts say more needs to be done to fix the problem once and for all.",3O0M2G5VC631OWMMIFJ4EG683V194V,"While the government has taken steps to support banks, analysts say more needs to be done to fix the problem once and for all."
11/05/2012 - 08:05:17 The Spanish government is expected to announce a new round of financial sector reforms later today.,3O0M2G5VC631OWMMIFJ4EG683V194V,11/05/2012 - 08:05:17 The Spanish government is expected to announce a new round of financial sector reforms later today.
"The trouble is, he is talking to audiences that have a very strong belief that the United States is going to abandon them, Biddle said in a phone interview.",3X4Q1O9UBHN1E68BM20TEIL7P8S7OU,"The trouble is, he is talking to audiences that have a very strong belief that the United States is going to abandon them, Biddle said in a phone interview."
"The U.S. embassy, which neighbors the AFP bureau in Kabul, said its embassy was “under lockdown” and warned staff to “take cover, move away from the windows.”",3X4Q1O9UBHN1E68BM20TEIL7P8S7OU,"The U.S. embassy, which neighbors the AFP bureau in Kabul, said its embassy was “under lockdown” and warned staff to “take cover, move away from the windows.”"
"Obama earlier dropped from night skies into Kabul on a brief visit amid secrecy and tight security and signed a deal with President Hamid Karzai, cementing 10 years of U.S. aid for Afghanistan after NATO combat troops leave in 2014.",3X4Q1O9UBHN1E68BM20TEIL7P8S7OU,"Obama earlier dropped from night skies into Kabul on a brief visit amid secrecy and tight security and signed a deal with President Hamid Karzai, cementing 10 years of U.S. aid for Afghanistan after NATO combat troops leave in 2014."
"The attack was a reminder of the extremist threat that stalks Afghanistan, with the Taliban resurgent a decade after they were driven from power for refusing to hand over Bin Laden following the 9/11 attacks.",3X4Q1O9UBHN1E68BM20TEIL7P8S7OU,"The attack was a reminder of the extremist threat that stalks Afghanistan, with the Taliban resurgent a decade after they were driven from power for refusing to hand over Bin Laden following the 9/11 attacks."
A 26-year-old man is still being questioned by police on suspicion of murder.,3G5RUKN2EC4NA4WS0KY0DPC8VPZN9Y,A 26-year-old man is still being questioned by police on suspicion of murder.
"A man and woman, both aged 28, arrested on suspicion of assisting an offender were released, without charge, on Saturday evening.",3G5RUKN2EC4NA4WS0KY0DPC8VPZN9Y,"A man and woman, both aged 28, arrested on suspicion of assisting an offender were released, without charge, on Saturday evening."
They were all arrested in the Toome area within an hour on the shooting.,3G5RUKN2EC4NA4WS0KY0DPC8VPZN9Y,They were all arrested in the Toome area within an hour on the shooting.
Deputy First Minister Martin McGuinness has visited the victims' family and said they are in deep shock.,3G5RUKN2EC4NA4WS0KY0DPC8VPZN9Y,Deputy First Minister Martin McGuinness has visited the victims' family and said they are in deep shock.
"He said: ""This family is clearly deeply shocked and traumatised by what has happened over the weekend.",3G5RUKN2EC4NA4WS0KY0DPC8VPZN9Y,"He said: ""This family is clearly deeply shocked and traumatised by what has happened over the weekend."
Their daughter has been murdered and another daughter seriously injured.,3G5RUKN2EC4NA4WS0KY0DPC8VPZN9Y,Their daughter has been murdered and another daughter seriously injured.
I spent some time with the family and offered our support and that of the wider community at this time.,3G5RUKN2EC4NA4WS0KY0DPC8VPZN9Y,I spent some time with the family and offered our support and that of the wider community at this time.
"I spent some time with the family and offered our support and that of the wider community at this time.""",3G5RUKN2EC4NA4WS0KY0DPC8VPZN9Y,"I spent some time with the family and offered our support and that of the wider community at this time."""
SDLP Mid-Ulster MLA Patsy McGlone has said there is an overwhelming sense of shock in the county over the shooting.,3G5RUKN2EC4NA4WS0KY0DPC8VPZN9Y,SDLP Mid-Ulster MLA Patsy McGlone has said there is an overwhelming sense of shock in the county over the shooting.
"Israel's ambassador to Egypt, Yitzhak Levanon, returned to Cairo on Sunday after he was evacuated in September following an attack on the embassy, an airport official told AFP.",3UV0D2KX1MKAP6DZL1JWOCSJ76ZF4N,"Israel's ambassador to Egypt, Yitzhak Levanon, returned to Cairo on Sunday after he was evacuated in September following an attack on the embassy, an airport official told AFP."
"Levanon arrived in the early hours of Sunday on a Turkish Airlines flight from Istanbul, the official said.",3UV0D2KX1MKAP6DZL1JWOCSJ76ZF4N,"Levanon arrived in the early hours of Sunday on a Turkish Airlines flight from Istanbul, the official said."
"The ambassador's arrival had not been announced and he flew in in complete secrecy, the official said.",3UV0D2KX1MKAP6DZL1JWOCSJ76ZF4N,"The ambassador's arrival had not been announced and he flew in in complete secrecy, the official said."
"On September 9, protesters attacked the Israeli embassy headquarters in a residential building in central Cairo, forcing the evacuation of all embassy staff.",3UV0D2KX1MKAP6DZL1JWOCSJ76ZF4N,"On September 9, protesters attacked the Israeli embassy headquarters in a residential building in central Cairo, forcing the evacuation of all embassy staff."
"Crowds had smashed through an external security wall, tossed embassy papers from balconies and tore down the Israeli flag.",3UV0D2KX1MKAP6DZL1JWOCSJ76ZF4N,"Crowds had smashed through an external security wall, tossed embassy papers from balconies and tore down the Israeli flag."
"It was the worst incident since Israel set up its mission in Egypt, the first Arab country to sign a peace treaty with the Jewish state in 1979.",3UV0D2KX1MKAP6DZL1JWOCSJ76ZF4N,"It was the worst incident since Israel set up its mission in Egypt, the first Arab country to sign a peace treaty with the Jewish state in 1979."
"More and more people are starting to believe that the election results are not fair, he told Interfax.",311HQEI8RSHDDAMIOBBAUGSBADJ7ZN,"More and more people are starting to believe that the election results are not fair, he told Interfax."
I believe that ignoring public opinion discredits the authorities and destabilizes the situation.,311HQEI8RSHDDAMIOBBAUGSBADJ7ZN,I believe that ignoring public opinion discredits the authorities and destabilizes the situation.
"Gorbachev added that authorities ""must admit that there have been numerous falsifications and ballot stuffing.""",311HQEI8RSHDDAMIOBBAUGSBADJ7ZN,"Gorbachev added that authorities ""must admit that there have been numerous falsifications and ballot stuffing."""
"Sunday's parliamentary vote suggested Russians are tiring of Putin and his United Russia party, which has dominated all other political forces in Russia for the past dozen years and earned a reputation for corruption.",311HQEI8RSHDDAMIOBBAUGSBADJ7ZN,"Sunday's parliamentary vote suggested Russians are tiring of Putin and his United Russia party, which has dominated all other political forces in Russia for the past dozen years and earned a reputation for corruption."
"Putin, meanwhile, officially registered Wednesday to run for the presidency in March, but the unusually sustained protests of the past two days suggested his drive to retake the job he held from 2000-2008 may not go as smoothly as he had expected.",311HQEI8RSHDDAMIOBBAUGSBADJ7ZN,"Putin, meanwhile, officially registered Wednesday to run for the presidency in March, but the unusually sustained protests of the past two days suggested his drive to retake the job he held from 2000-2008 may not go as smoothly as he had expected."
"But pro-Kremlin supporters also staged two large protests in Moscow that attracted thousands, highlighting political divisions in Russian society.",3UEDKCTP9VRIOFNWOA80714Y646K7E,"But pro-Kremlin supporters also staged two large protests in Moscow that attracted thousands, highlighting political divisions in Russian society."
"Although Sunday's election results signal Putin's return to the presidency in next March's poll may not be as easy as he expected, he has downplayed the reduced majority.",3UEDKCTP9VRIOFNWOA80714Y646K7E,"Although Sunday's election results signal Putin's return to the presidency in next March's poll may not be as easy as he expected, he has downplayed the reduced majority."
"He said it was ""inevitable"" because voters always are unhappy with the party in power.",3UEDKCTP9VRIOFNWOA80714Y646K7E,"He said it was ""inevitable"" because voters always are unhappy with the party in power."
He also dismissed allegations of corruption among his United Russia party members.,3UEDKCTP9VRIOFNWOA80714Y646K7E,He also dismissed allegations of corruption among his United Russia party members.
"It is understood the dead girl had been living at her family home, in a neighbouring housing estate, and was visiting her older sister at the time of the shooting.",3UEDKCTP9VRIOFNWOA80714Y646K7E,"It is understood the dead girl had been living at her family home, in a neighbouring housing estate, and was visiting her older sister at the time of the shooting."
"Locals reported seeing and speaking with her in the village during the morning, before police were called to the scene at around 10.40am.",3UEDKCTP9VRIOFNWOA80714Y646K7E,"Locals reported seeing and speaking with her in the village during the morning, before police were called to the scene at around 10.40am."
He said authorities have not yet determined the owner of then gun but they are pretty certain Thomas was the killer.,3I7KR83SNAEM2YBP376KLXV41UU9KF,He said authorities have not yet determined the owner of then gun but they are pretty certain Thomas was the killer.
Everything points to it being her.,3I7KR83SNAEM2YBP376KLXV41UU9KF,Everything points to it being her.
The Philippines has summoned China's ambassador in Manila after two Chinese ships blocked a Philippine Navy vessel from arresting Chinese fishermen in the South China Sea.,3I7KR83SNAEM2YBP376KLXV41UU9KF,The Philippines has summoned China's ambassador in Manila after two Chinese ships blocked a Philippine Navy vessel from arresting Chinese fishermen in the South China Sea.
"Eight Chinese fishing vessels were anchored off Scarborough Shoal, the Philippine government said on Wednesday, as Albert del Rosario, the country's foreign affairs secretary, called in Ma Keqing, the ambassador, for talks.",3I7KR83SNAEM2YBP376KLXV41UU9KF,"Eight Chinese fishing vessels were anchored off Scarborough Shoal, the Philippine government said on Wednesday, as Albert del Rosario, the country's foreign affairs secretary, called in Ma Keqing, the ambassador, for talks."
"Manila and Beijing contest sovereignty over the small group of islands and reefs, which lie about 124 nautical miles from the western coast of the Philippines' main island of Luzon.",3I7KR83SNAEM2YBP376KLXV41UU9KF,"Manila and Beijing contest sovereignty over the small group of islands and reefs, which lie about 124 nautical miles from the western coast of the Philippines' main island of Luzon."
"The foreign affairs department statement said the Philippines' flagship warship, the Gregorio Del Pilar, found the eight vessels there on Sunday while patrolling the area.",3I7KR83SNAEM2YBP376KLXV41UU9KF,"The foreign affairs department statement said the Philippines' flagship warship, the Gregorio Del Pilar, found the eight vessels there on Sunday while patrolling the area."
"A 21-year-old man was arrested on April 30, on suspicion of murder and was released on bail until May 29 pending further enquiries.",3MJ28H2Y1E9MR2USY9LWGY7BZ3L5O4,"A 21-year-old man was arrested on April 30, on suspicion of murder and was released on bail until May 29 pending further enquiries."
"Google Inc. (GOOG) won approval from Chinese regulators for its $12.5 billion purchase of Motorola Mobility Holdings Inc. (MMI), clearing a final hurdle for a deal that boosts its patents portfolio and steps up competition with Apple Inc. (AAPL) “We are pleased the deal has received approval in all jurisdictions,” Motorola Mobility said in an e-mailed statement, confirming that the deal has been approved in China.",3MJ28H2Y1E9MR2USY9LWGY7BZ3L5O4,"Google Inc. (GOOG) won approval from Chinese regulators for its $12.5 billion purchase of Motorola Mobility Holdings Inc. (MMI), clearing a final hurdle for a deal that boosts its patents portfolio and steps up competition with Apple Inc. (AAPL) “We are pleased the deal has received approval in all jurisdictions,” Motorola Mobility said in an e-mailed statement, confirming that the deal has been approved in China."
“We expect to close imminently.”,3MJ28H2Y1E9MR2USY9LWGY7BZ3L5O4,“We expect to close imminently.”
"The acquisition, announced last year, has already received approvals in Europe, the U.S. and other jurisdictions worldwide.",3MJ28H2Y1E9MR2USY9LWGY7BZ3L5O4,"The acquisition, announced last year, has already received approvals in Europe, the U.S. and other jurisdictions worldwide."
Motorola Mobility had said in a regulatory filing in February that it needed approval in China.,3MJ28H2Y1E9MR2USY9LWGY7BZ3L5O4,Motorola Mobility had said in a regulatory filing in February that it needed approval in China.
"Google, facing legal disputes over its Android smartphone software, will be able to draw on more than 17,000 patents from Libertyville, Illinois-based Motorola Mobility.",3MJ28H2Y1E9MR2USY9LWGY7BZ3L5O4,"Google, facing legal disputes over its Android smartphone software, will be able to draw on more than 17,000 patents from Libertyville, Illinois-based Motorola Mobility."
"The Israeli official said the new ambassador to Cairo, Yaakov Amitai, was expected to travel to the Egyptian capital in December to present his credentials, but the embassy would not be staffed or resume normal activity until acceptable security arrangements were in place.",3IHWR4LC7DEVIY2RYCFU8LLGPKN8IE,"The Israeli official said the new ambassador to Cairo, Yaakov Amitai, was expected to travel to the Egyptian capital in December to present his credentials, but the embassy would not be staffed or resume normal activity until acceptable security arrangements were in place."
"Many Egyptians view Israel, which signed a peace treaty with Egypt in 1979 after four wars between the two countries, with hostility.",3IHWR4LC7DEVIY2RYCFU8LLGPKN8IE,"Many Egyptians view Israel, which signed a peace treaty with Egypt in 1979 after four wars between the two countries, with hostility."
"Anti-Israeli sentiment, muted before President Hosni Mubarak was overthrown in February, has become more vocal.",3IHWR4LC7DEVIY2RYCFU8LLGPKN8IE,"Anti-Israeli sentiment, muted before President Hosni Mubarak was overthrown in February, has become more vocal."
A postmortem is due to be carried out today on the body of a teenager who was shot dead in Co Derry yesterday.,3IHWR4LC7DEVIY2RYCFU8LLGPKN8IE,A postmortem is due to be carried out today on the body of a teenager who was shot dead in Co Derry yesterday.
A 26-year-old man is being questioned by detectives about the murder of the 18-year-old and the serious wounding of her sister in a gun attack in a small village of Bellaghy.,3IHWR4LC7DEVIY2RYCFU8LLGPKN8IE,A 26-year-old man is being questioned by detectives about the murder of the 18-year-old and the serious wounding of her sister in a gun attack in a small village of Bellaghy.
"An EU statement issued at a meeting of ministers from the 27-nation bloc said they adopted ""sanctions against the Syrian regime"" but gave no details.",3OEWW2KGQJCHVF9LDF3FEAV3B7GDOQ,"An EU statement issued at a meeting of ministers from the 27-nation bloc said they adopted ""sanctions against the Syrian regime"" but gave no details."
"Rebels killed 23 Syrian soldiers on Monday, according to a rights group opposed to President Bashar Assad, in battles around the town of Rastan that further undermined a sagging U.N.-backed ceasefire.",3OEWW2KGQJCHVF9LDF3FEAV3B7GDOQ,"Rebels killed 23 Syrian soldiers on Monday, according to a rights group opposed to President Bashar Assad, in battles around the town of Rastan that further undermined a sagging U.N.-backed ceasefire."
"The fighting on the outskirts of Rastan followed heavy army shelling of the town in which opposition sources said at least nine people were killed, including a local rebel commander.",3OEWW2KGQJCHVF9LDF3FEAV3B7GDOQ,"The fighting on the outskirts of Rastan followed heavy army shelling of the town in which opposition sources said at least nine people were killed, including a local rebel commander."
"Rastan, 25 km (15 miles) north of Homs city, has slipped in and out of government control several times since the uprising against Assad erupted in March 2011.",3OEWW2KGQJCHVF9LDF3FEAV3B7GDOQ,"Rastan, 25 km (15 miles) north of Homs city, has slipped in and out of government control several times since the uprising against Assad erupted in March 2011."
"Shelling began on Sunday and intensified overnight, activists said, a new blow to a ceasefire declared by peace envoy Kofi Annan a month ago and which U.N. monitoring mission on the ground are observing.",3OEWW2KGQJCHVF9LDF3FEAV3B7GDOQ,"Shelling began on Sunday and intensified overnight, activists said, a new blow to a ceasefire declared by peace envoy Kofi Annan a month ago and which U.N. monitoring mission on the ground are observing."
"The children's father was separated from Thomas but still lives in Brevard County, according to Lt Goodyear.",32L724R85LLGOQ18KTH5U7G6EUNIP8,"The children's father was separated from Thomas but still lives in Brevard County, according to Lt Goodyear."
"Police have found the body of a young woman near to an observatory in Merseyside Police made the discovery at Bidston Hill observatory near Birkenhead, Merseyside, at about 5.30pm on Saturday following a call from a concerned member of the public.",32L724R85LLGOQ18KTH5U7G6EUNIP8,"Police have found the body of a young woman near to an observatory in Merseyside Police made the discovery at Bidston Hill observatory near Birkenhead, Merseyside, at about 5.30pm on Saturday following a call from a concerned member of the public."
"An 18-year-old man from Moreton, Wirral, has been arrested on suspicion of murder.",32L724R85LLGOQ18KTH5U7G6EUNIP8,"An 18-year-old man from Moreton, Wirral, has been arrested on suspicion of murder."
"The victim, believed to be in her late teens, has yet to be formally identified, Merseyside Police said.",32L724R85LLGOQ18KTH5U7G6EUNIP8,"The victim, believed to be in her late teens, has yet to be formally identified, Merseyside Police said."
A post-mortem examination to establish the cause of death is expected to take place.,32L724R85LLGOQ18KTH5U7G6EUNIP8,A post-mortem examination to establish the cause of death is expected to take place.
"Police are appealing for information about anyone seen acting suspiciously lately at Bidston Hill, Bidston, to come forward.",32L724R85LLGOQ18KTH5U7G6EUNIP8,"Police are appealing for information about anyone seen acting suspiciously lately at Bidston Hill, Bidston, to come forward."
Goodyear said that this was not the first time police were called to the house.,30P8I9JKOIMHHM3PZL7ABQ1JVWI5V6,Goodyear said that this was not the first time police were called to the house.
Deupities said a neighbor had previously called 911 due to a domestic abuse.,30P8I9JKOIMHHM3PZL7ABQ1JVWI5V6,Deupities said a neighbor had previously called 911 due to a domestic abuse.
Travis St. Peter lived on the same block as Thomas and her children.,30P8I9JKOIMHHM3PZL7ABQ1JVWI5V6,Travis St. Peter lived on the same block as Thomas and her children.
He said they were trouble makers who would shoot BB guns and lighting fireworks.,30P8I9JKOIMHHM3PZL7ABQ1JVWI5V6,He said they were trouble makers who would shoot BB guns and lighting fireworks.
"The guy had to board up his windows because they always, basically destroyed his house, said St. Travis, reported WFTV.",30P8I9JKOIMHHM3PZL7ABQ1JVWI5V6,"The guy had to board up his windows because they always, basically destroyed his house, said St. Travis, reported WFTV."
The kids are always trying to get in fights.,30P8I9JKOIMHHM3PZL7ABQ1JVWI5V6,The kids are always trying to get in fights.
"You always hear the mom's yelling at midnight and stuff.""",30P8I9JKOIMHHM3PZL7ABQ1JVWI5V6,"You always hear the mom's yelling at midnight and stuff."""
"Deputies said that the father of the children, who does not live with the family, was notified of the incident.",30P8I9JKOIMHHM3PZL7ABQ1JVWI5V6,"Deputies said that the father of the children, who does not live with the family, was notified of the incident."
Reports indicate that he had a difficult time composing himself as investigators interviewed him.,30P8I9JKOIMHHM3PZL7ABQ1JVWI5V6,Reports indicate that he had a difficult time composing himself as investigators interviewed him.
"It has been an ongoing problem on our street with them, Hudson said.",3X0EMNLXEPQLAWL8J0GO9W60MWJPVC,"It has been an ongoing problem on our street with them, Hudson said."
Goodyear said Jaxs Johnson had recently been arrested on a domestic violence charge.,3X0EMNLXEPQLAWL8J0GO9W60MWJPVC,Goodyear said Jaxs Johnson had recently been arrested on a domestic violence charge.
He said he didn't know if the boy had been accused of hitting his mother or causing damage at the house.,3X0EMNLXEPQLAWL8J0GO9W60MWJPVC,He said he didn't know if the boy had been accused of hitting his mother or causing damage at the house.
"Austin Lewis, a 16-year-old classmate of Pebbles Johnson, said the family ""had problems like everybody else but nothing that drastic.""",3X0EMNLXEPQLAWL8J0GO9W60MWJPVC,"Austin Lewis, a 16-year-old classmate of Pebbles Johnson, said the family ""had problems like everybody else but nothing that drastic."""
"He described Pebbles Johnson as ""very loving and caring.""",3X0EMNLXEPQLAWL8J0GO9W60MWJPVC,"He described Pebbles Johnson as ""very loving and caring."""
"Always with a smile, Lewis said.",3X0EMNLXEPQLAWL8J0GO9W60MWJPVC,"Always with a smile, Lewis said."
Didn't let anything affect her.,3X0EMNLXEPQLAWL8J0GO9W60MWJPVC,Didn't let anything affect her.
"She was always in a good mood.""",3X0EMNLXEPQLAWL8J0GO9W60MWJPVC,"She was always in a good mood."""
"A pastor at the church the family attended described it as ""normal stuff.""",3X0EMNLXEPQLAWL8J0GO9W60MWJPVC,"A pastor at the church the family attended described it as ""normal stuff."""
"I think he was punching some walls or something, said Jarvis Wash, pastor of the Real Church in Rockledge, Fla.",3X0EMNLXEPQLAWL8J0GO9W60MWJPVC,"I think he was punching some walls or something, said Jarvis Wash, pastor of the Real Church in Rockledge, Fla."
"The goal I set - to defeat al-Qaeda, and deny it a chance to rebuild - is now within our reach.''",3PMR2DOWOO2IN9KAFP6N2016HBX543,"The goal I set - to defeat al-Qaeda, and deny it a chance to rebuild - is now within our reach.''"
"Asserting that the US had largely achieved its military goals, Mr Obama said Afghans were ready to take responsibility for their own security, a transition that will start in earnest next year when US and NATO troops step back from a combat role to training and counter-terrorism operations.",3PMR2DOWOO2IN9KAFP6N2016HBX543,"Asserting that the US had largely achieved its military goals, Mr Obama said Afghans were ready to take responsibility for their own security, a transition that will start in earnest next year when US and NATO troops step back from a combat role to training and counter-terrorism operations."
"Insurgents killed at least seven people in an attack targeting  foreigners in Kabul Wednesday, just two hours after U.S. President  Barack Obama left Afghanistan following a brief unannounced visit.",3PMR2DOWOO2IN9KAFP6N2016HBX543,"Insurgents killed at least seven people in an attack targeting  foreigners in Kabul Wednesday, just two hours after U.S. President  Barack Obama left Afghanistan following a brief unannounced visit."
The Taliban claimed responsibility for the assault on the heavily  secured compound housing hundreds of international workers on the  eastern outskirts of the capital.,3PMR2DOWOO2IN9KAFP6N2016HBX543,The Taliban claimed responsibility for the assault on the heavily  secured compound housing hundreds of international workers on the  eastern outskirts of the capital.
"Rami Abdul-Rahman, who heads the Observatory, said the rebels were able to destroy several army vehicles during the clashes and kill soldiers.",39HYCOOPKOMTVCO90ZO2M66YG71DMB,"Rami Abdul-Rahman, who heads the Observatory, said the rebels were able to destroy several army vehicles during the clashes and kill soldiers."
